text
星座,内容
巨蟹座,巨蟹座的幸运色是黑色，象征着神秘。
摩羯座,摩羯座的幸运色是金色，象征着尊贵。
水瓶座,水瓶座的幸运色是黑色，象征着激情。
摩羯座,摩羯座的幸运色是紫色，象征着智慧。
巨蟹座,巨蟹座的幸运色是红色，象征着神秘。
射手座,射手座的幸运色是绿色，象征着成长。
巨蟹座,巨蟹座的幸运色是橙色，象征着财富。
双鱼座,双鱼座的幸运色是黑色，象征着和平。
金牛座,金牛座的幸运色是粉色，象征着和平。
天秤座,天秤座的幸运色是粉色，象征着热情。
狮子座,狮子座的幸运色是红色，象征着财富。
巨蟹座,巨蟹座的幸运色是橙色，象征着幸运。
金牛座,金牛座的幸运色是黑色，象征着激情。
狮子座,狮子座的幸运色是金色，象征着幸运。
双子座,双子座的幸运色是金色，象征着财富。
白羊座,白羊座的幸运色是绿色，象征着和平。
双子座,双子座的幸运色是红色，象征着和平。
天秤座,天秤座的幸运色是黄色，象征着财富。
水瓶座,水瓶座的幸运色是黑色，象征着智慧。
摩羯座,摩羯座的幸运色是粉色，象征着稳定。
狮子座,狮子座的幸运色是绿色，象征着成长。
摩羯座,摩羯座的幸运色是黄色，象征着成长。
白羊座,白羊座的幸运色是金色，象征着激情。
双子座,双子座的幸运色是黄色，象征着财富。
狮子座,狮子座的幸运色是红色，象征着成长。
巨蟹座,巨蟹座的幸运色是红色，象征着稳定。
双子座,双子座的幸运色是绿色，象征着激情。
天蝎座,天蝎座的幸运色是黑色，象征着神秘。
处女座,处女座的幸运色是红色，象征着热情。
白羊座,白羊座的幸运色是红色，象征着智慧。
射手座,射手座的幸运色是红色，象征着热情。
射手座,射手座的幸运色是黄色，象征着激情。
射手座,射手座的幸运色是黄色，象征着尊贵。
巨蟹座,巨蟹座的幸运色是银色，象征着激情。
摩羯座,摩羯座的幸运色是绿色，象征着幸运。
双子座,双子座的幸运色是紫色，象征着幸运。
巨蟹座,巨蟹座的幸运色是绿色，象征着智慧。
水瓶座,水瓶座的幸运色是绿色，象征着和平。
巨蟹座,巨蟹座的幸运色是红色，象征着成长。
天蝎座,天蝎座的幸运色是粉色，象征着激情。
狮子座,狮子座的幸运色是红色，象征着尊贵。
